mean_accuracy,step,mean_iou,loss,epoch,val_mean_iou,val_mean_accuracy,val_loss
0.28742271532594227,49,0.13267264331664758,1.4567770957946777,0,,,
0.3257029434271013,99,0.16860352050165806,1.335304856300354,0,,,
,119,,,0,0.28025428124609936,0.4902668332450815,1.3482123613357544
0.46540962313629924,149,0.2919402786513043,1.5460325479507446,1,,,
0.5904966944663691,199,0.4788359418534241,0.6304727792739868,1,,,
,239,,,1,0.4907419588523693,0.688053452507702,0.885811448097229
0.5833569994379096,249,0.4642004890223021,0.9068498015403748,2,,,
0.6405766142968351,299,0.5190283021851826,0.5997001528739929,2,,,
0.7735320839725781,349,0.6328472602733913,0.7749125957489014,2,,,
,359,,,2,0.6993295596981298,0.7982694830930184,0.654295802116394
0.6488395088183223,399,0.5767327450833372,0.7093177437782288,3,,,
0.7790410641596585,449,0.6960859358425204,0.40757158398628235,3,,,
,479,,,3,0.7631477663481377,0.8469144201405018,0.5189370512962341
0.7372677466138392,499,0.6309385468025367,0.9062329530715942,4,,,
0.7766558890916051,549,0.696385918009267,0.3912225365638733,4,,,
0.8545657801234,599,0.7678830886758602,0.5139544606208801,4,,,
,599,,,4,0.7830597631713324,0.8682484441924933,0.4350655674934387
0.8304161383453413,649,0.7524779587348296,0.360647052526474,5,,,
0.8010285908214486,699,0.7197405679977663,0.5162477493286133,5,,,
,719,,,5,0.8064523157133681,0.8783909175193841,0.3732771873474121
0.9505146388628801,749,0.9140489172276233,0.20211057364940643,6,,,
0.9278584610726149,799,0.8534586725534651,0.16381318867206573,6,,,
,839,,,6,0.8207676389666553,0.8892633186690594,0.33624252676963806
0.8718665549635797,849,0.8423384695499302,0.2154921293258667,7,,,
0.8703411384935444,899,0.7687312821364861,0.3369806110858917,7,,,
0.9202355915705986,949,0.8759993418463274,0.39294466376304626,7,,,
,959,,,7,0.8310620509795624,0.8925780350919833,0.3021436333656311
0.8904156592693204,999,0.8467553693037834,0.17771397531032562,8,,,
0.9658468879124379,1049,0.9436310794500007,0.07442954927682877,8,,,
,1079,,,8,0.8463553559473375,0.9079178386923207,0.28412726521492004
0.9231550292463336,1099,0.8670185172029076,0.05858476832509041,9,,,
0.9021869767141664,1149,0.8646132634144359,0.07426074147224426,9,,,
0.9519587393154237,1199,0.8951184021915801,0.128732830286026,9,,,
,1199,,,9,0.8375766672462079,0.8961484556399139,0.2855971157550812
0.9688886261603429,1249,0.9522295257656644,0.10593459010124207,10,,,
0.9477674476989159,1299,0.8984289714175849,0.12014871835708618,10,,,
,1319,,,10,0.8697636009944154,0.9254888066646964,0.24576550722122192
0.9270471442365374,1349,0.860034237733215,0.052703846246004105,11,,,
0.9470468861521448,1399,0.9041006411461968,0.04469389095902443,11,,,
,1439,,,11,0.8551592429762779,0.9069815389365705,0.24075336754322052
0.9365546277436231,1449,0.8876269168774412,0.13834591209888458,12,,,
0.9550209509804289,1499,0.9374717577055424,0.09903759509325027,12,,,
0.9637098957890692,1549,0.8995929911922446,0.16929370164871216,12,,,
,1559,,,12,0.8467783267750217,0.9016613740986416,0.255954384803772
0.9412686394627913,1599,0.9209446045460571,0.060139235109090805,13,,,
0.967052727622332,1649,0.923552846606846,0.05998604744672775,13,,,
,1679,,,13,0.8746204627775728,0.9274197105555994,0.2122952938079834
0.9311643386495724,1699,0.9177227461897473,0.036992285400629044,14,,,
0.9655770766027046,1749,0.9489421986684105,0.053803522139787674,14,,,
0.9251113369185818,1799,0.8792008127008956,0.28823786973953247,14,,,
