mean_accuracy,step,mean_iou,loss,epoch,val_mean_iou,val_mean_accuracy,val_loss
0.9741920638193959,3249,0.9565086740326406,0.005396201275289059,27,,,
0.9831071715420677,3299,0.9632633210365181,0.03158000484108925,27,,,
0.9867987945166056,3349,0.9733800655651853,0.0170898474752903,27,,,
,3359,,,27,0.9121145957981528,0.9483212353396063,0.16861595213413239
0.9819196842922481,3399,0.9708602915475523,0.008288053795695305,28,,,
0.9904668842152434,3449,0.9757742646632345,0.10352527350187302,28,,,
,3479,,,28,0.8579303758606839,0.9200371616340921,0.250232458114624
0.9612368179270007,3499,0.91540396963592,0.2108433097600937,29,,,
0.9938659708455894,3549,0.9821783900780233,0.011372510343790054,29,,,
0.9906864004113265,3599,0.9841096822604042,0.0188370943069458,29,,,
,3599,,,29,0.8998156963284575,0.9383412598669363,0.19280682504177094
0.9521914994635609,3649,0.9045951193526434,0.019498929381370544,30,,,
0.9760915118731678,3699,0.9478011229558058,0.03640620410442352,30,,,
,3719,,,30,0.9147591363614166,0.9527001773116414,0.17325563728809357
